scenario,display_name,method,learning_rate,retain_weight,epoch,forget_train_loss,retain_train_loss,objective,forget_loss,forget_loss_change,validation_loss,validation_accuracy,validation_f1,validation_balanced_accuracy,validation_auroc,selection_valid,validation_safety_score,cumulative_optimizer_steps,runtime_seconds,scenario_seed,candidate_method,candidate_learning_rate,candidate_retain_weight
s1_random_1_percent,Random 1%,NegGrad+,5e-05,0.5,3,0.3058670874227557,0.31119974889950447,-0.1502672129730035,0.30546187178084727,0.0008039795167265051,0.3011010315146174,0.8610428610428611,0.6892551892551892,0.7866703911952635,0.9165668062409533,True,-0.0,6,0.04229758307337761,942,NegGrad+,5e-05,0.5
s2_random_5_percent,Random 5%,NegGrad,1e-05,0.0,1,0.29782238691574375,0.0,-0.29782238691574375,0.2946190248287652,7.614686936924242e-05,0.3010508707807652,0.8609063609063609,0.6882838788620373,0.7857986447369862,0.9165746879385154,True,-0.0,7,0.03056537499651313,943,NegGrad,1e-05,0.0
s2_random_5_percent,Random 5%,NegGrad,1e-05,0.0,2,0.30082397436698044,0.0,-0.30082397436698044,0.29469660944656856,0.00015373148717262586,0.3010603593666958,0.8611793611793612,0.6890859064506267,0.7863690953930045,0.9165736643414293,True,-0.0,14,0.06525145808700472,943,NegGrad,1e-05,0.0
s2_random_5_percent,Random 5%,NegGrad,1e-05,0.0,3,0.2993455029426785,0.0,-0.2993455029426785,0.2947736825770004,0.00023080461760444093,0.30107088242597735,0.8613158613158614,0.6896762370189371,0.7868498277644362,0.9165718218666746,True,-0.0,21,0.09425295807886869,943,NegGrad,1e-05,0.0
s2_random_5_percent,Random 5%,NegGrad,5e-05,0.0,1,0.2991605219853559,0.0,-0.2991605219853559,0.2948507738434271,0.00030789588403118406,0.30106981649055137,0.8614523614523615,0.6898869538649557,0.7869395460490227,0.9165803177224883,True,-0.0,7,0.03119991603307426,943,NegGrad,5e-05,0.0
s2_random_5_percent,Random 5%,NegGrad,5e-05,0.0,2,0.2976712237906219,0.0,-0.2976712237906219,0.29526893485003985,0.0007260568906439224,0.30114727767315064,0.8610428610428611,0.6907654921020656,0.7882344475426453,0.9165703888307543,True,-0.0,14,0.06395291606895626,943,NegGrad,5e-05,0.0
s2_random_5_percent,Random 5%,NegGrad,5e-05,0.0,3,0.3032177765600301,0.0,-0.3032177765600301,0.2957031987542085,0.0011603207948125416,0.30124645464380617,0.8604968604968605,0.690677966101695,0.7886576025779907,0.9165595387016428,True,-0.0,21,0.09490466606803238,943,NegGrad,5e-05,0.0
s2_random_5_percent,Random 5%,NegGrad,0.0001,0.0,1,0.2974492677510866,0.0,-0.2974492677510866,0.2951982391724606,0.0006553612130646425,0.3011154092435397,0.8615888615888616,0.6910420475319927,0.7880067995507227,0.9165725383846349,True,-0.0,7,0.02805924997664988,943,NegGrad,0.0001,0.0
s2_random_5_percent,Random 5%,NegGrad,0.0001,0.0,2,0.2967355895314459,0.0,-0.2967355895314459,0.29608800145811054,0.0015451234987146067,0.3013218566266819,0.8609063609063609,0.6920519794499849,0.7897087856054408,0.9165512475652464,True,-0.0,14,0.05608599993865937,943,NegGrad,0.0001,0.0
s2_random_5_percent,Random 5%,NegGrad,0.0001,0.0,3,0.3032780880028913,0.0,-0.3032780880028913,0.29715137156636623,0.002608493606970297,0.30167481116899664,0.8611793611793612,0.6945028537098228,0.7920387996522635,0.9165287284293548,True,-0.0,21,0.08394387492444366,943,NegGrad,0.0001,0.0
s2_random_5_percent,Random 5%,NegGrad+,1e-05,0.1,1,0.3005577835198241,0.29998752983987786,-0.27055903025856487,0.2946193462369594,7.646827756346841e-05,0.30105019902844526,0.8609063609063609,0.6882838788620373,0.7857986447369862,0.9165736643414294,True,-0.0,7,0.0450382080161944,943,NegGrad+,1e-05,0.1
s2_random_5_percent,Random 5%,NegGrad+,1e-05,0.1,2,0.3015262471558826,0.3038202321899084,-0.2711442233335212,0.29469738748074975,0.00015450952135381835,0.30105986117242695,0.8611793611793612,0.6890859064506267,0.7863690953930045,0.9165743808593896,True,-0.0,14,0.08805804199073464,943,NegGrad+,1e-05,0.1
s2_random_5_percent,Random 5%,NegGrad+,1e-05,0.1,3,0.2994979935267154,0.3103126132606832,-0.26846673353992057,0.2947695989438565,0.0002267209844605822,0.30106906570471803,0.8613158613158614,0.6896762370189371,0.7868498277644362,0.9165729478234692,True,-0.0,21,0.13566416699904948,943,NegGrad+,1e-05,0.1
s2_random_5_percent,Random 5%,NegGrad+,1e-05,0.5,1,0.2964573784171663,0.30496041304957733,-0.14397717189237763,0.2945945678990511,5.1689939655152894e-05,0.3010436187684129,0.8610428610428611,0.6884944920440637,0.7858883630215726,0.9165743808593897,True,-0.0,7,0.04482166701927781,943,NegGrad+,1e-05,0.5
s2_random_5_percent,Random 5%,NegGrad+,1e-05,0.5,2,0.2996644359136479,0.3016262829931526,-0.14885129441707157,0.29465887674188806,0.00011599878249213269,0.3010493267877747,0.8610428610428611,0.6886850152905198,0.7860838700649954,0.9165757115356014,True,-0.0,14,0.08726529206614941,943,NegGrad+,1e-05,0.5
s2_random_5_percent,Random 5%,NegGrad+,1e-05,0.5,3,0.30102989375765665,0.31552184086713686,-0.1432689733240882,0.29471401916462614,0.00017114120523020748,0.30105340608540304,0.8611793611793612,0.6890859064506267,0.7863690953930045,0.9165798059239453,True,-0.0,21,0.12814083299599588,943,NegGrad+,1e-05,0.5
s2_random_5_percent,Random 5%,NegGrad+,5e-05,0.1,1,0.2965320039207019,0.29814075944087465,-0.2667179297745193,0.29489885540019706,0.00035597744080112514,0.3010857477234974,0.8613158613158614,0.6898656898656899,0.787045334807859,0.9165765304132701,True,-0.0,7,0.04504091606941074,943,NegGrad+,5e-05,0.1
s2_random_5_percent,Random 5%,NegGrad+,5e-05,0.1,2,0.2972080148211552,0.30475746052456293,-0.2667322640027687,0.29531779065684594,0.0007749126974500031,0.30115693584674375,0.8610428610428611,0.6909532483302975,0.788429954586068,0.9165699793919199,True,-0.0,14,0.08672141609713435,943,NegGrad+,5e-05,0.1
s2_random_5_percent,Random 5%,NegGrad+,5e-05,0.1,3,0.30067960283189854,0.3123059837946493,-0.26944899893839364,0.2957106881876868,0.0011678102282908775,0.3012373540087733,0.8604968604968605,0.690677966101695,0.7886576025779907,0.9165629165720266,True,-0.0,21,0.13279891619458795,943,NegGrad+,5e-05,0.1
s2_random_5_percent,Random 5%,NegGrad+,5e-05,0.5,1,0.30214763428817515,0.3039575696270531,-0.15016884947464856,0.294820323664937,0.0002774457055410573,0.3010676280335263,0.8614523614523615,0.6900763358778625,0.7871350530924455,0.9165740737802638,True,-0.0,7,0.0474456250667572,943,NegGrad+,5e-05,0.5
s2_random_5_percent,Random 5%,NegGrad+,5e-05,0.5,2,0.298809754274755,0.3038430635590104,-0.1468882224952498,0.2951511626113849,0.0006082846519889773,0.30110747769267515,0.8613158613158614,0.6908094948265369,0.7880228700249727,0.9165731525428864,True,-0.0,14,0.09367779199965298,943,NegGrad+,5e-05,0.5
s2_random_5_percent,Random 5%,NegGrad+,5e-05,0.5,3,0.2990541846745889,0.31206641396351764,-0.14302097769283006,0.29544348912744095,0.000900611168045018,0.3011404349525347,0.8610428610428611,0.6907654921020656,0.7882344475426453,0.9165711565285687,True,-0.0,21,0.1370511669665575,943,NegGrad+,5e-05,0.5
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),NegGrad,1e-05,0.0,1,0.308207109026409,0.0,-0.308207109026409,0.30109341721652677,6.425987986152792e-05,0.3010534285490154,0.8610428610428611,0.6886850152905198,0.7860838700649954,0.9165712077084229,True,-0.0,7,0.0319487500237301,944,NegGrad,1e-05,0.0
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),NegGrad,1e-05,0.0,2,0.30601145318315504,0.0,-0.30601145318315504,0.3011477752133449,0.00011861787667966084,0.30105655551477434,0.8610428610428611,0.6886850152905198,0.7860838700649954,0.9165731525428864,True,-0.0,14,0.19796108303125948,944,NegGrad,1e-05,0.0
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),NegGrad,1e-05,0.0,3,0.30313754366059187,0.0,-0.30313754366059187,0.30121159672877534,0.00018243939211010085,0.3010634941918714,0.8610428610428611,0.6888753056234719,0.786279377108418,0.9165729478234692,True,-0.0,21,0.22568987496197224,944,NegGrad,1e-05,0.0
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),NegGrad,5e-05,0.0,1,0.30660950309115387,0.0,-0.30660950309115387,0.3013946382752296,0.0003654809385643665,0.30112386552844256,0.8606333606333606,0.6890039597928723,0.7867922504283498,0.9165572867880538,True,-0.0,7,0.029733041068539023,944,NegGrad,5e-05,0.0
