display_name,scenario,seed,model_type,subset,accuracy,mean_loss,mean_true_class_confidence,mean_predicted_probability,positive_prediction_rate
Random 10%,s4_random_10_percent,44,baseline,forget,0.8642878034513015,0.2954938641368172,0.8085165858183205,0.2300825877414568,0.18806668616554548
Random 10%,s4_random_10_percent,44,baseline,retain,0.8607084822879428,0.29801128995928106,0.8069763012384438,0.24008031354323006,0.20285992850178747
Random 10%,s4_random_10_percent,44,baseline,test,0.8587416405077112,0.31186469278758894,0.8017820349870142,0.23742656656076275,0.19380373959328512
Random 10%,s4_random_10_percent,44,full_retraining,forget,0.8613629716291313,0.308332439660964,0.8043308595385272,0.23502277096562368,0.19099151798771571
Random 10%,s4_random_10_percent,44,full_retraining,retain,0.8592460188495288,0.3004690124661603,0.8063265160889317,0.2453786391586757,0.2073773155671108
Random 10%,s4_random_10_percent,44,full_retraining,test,0.8581957144806879,0.3129263515036016,0.8018037660929075,0.2424591967886302,0.20090077794458852
Date retention expiry,s5_retention_expiry,42,baseline,forget,0.8529980657640233,0.31026257984731337,0.8004343873872013,0.2536295215498484,0.21744036105738235
Date retention expiry,s5_retention_expiry,42,baseline,retain,0.8613900303734143,0.29641544712171375,0.8064563999299752,0.24397634435894278,0.20907629087010898
Date retention expiry,s5_retention_expiry,42,baseline,test,0.8560120103725946,0.31255315462244204,0.8002792466602107,0.2437920633301503,0.20390337109321688
Date retention expiry,s5_retention_expiry,42,full_retraining,forget,0.8486460348162476,0.3209219559538906,0.7991211359775076,0.24814393360013645,0.21470019342359767
Date retention expiry,s5_retention_expiry,42,full_retraining,retain,0.8609969626585671,0.2981339843882523,0.8079610838145006,0.23852804856996762,0.20539574772199393
Date retention expiry,s5_retention_expiry,42,full_retraining,test,0.8576497884536646,0.31276907534284193,0.8022926232981985,0.23873316783394913,0.2017196669851235
Date retention expiry,s5_retention_expiry,43,baseline,forget,0.8533204384268214,0.31099996321462825,0.8013490804401346,0.2403562356283016,0.19745325596389426
Date retention expiry,s5_retention_expiry,43,baseline,retain,0.8611041629444345,0.2974043562637826,0.8072955259214263,0.2312163037271958,0.18877970341254244
Date retention expiry,s5_retention_expiry,43,baseline,test,0.8576497884536646,0.31153476320222084,0.8015725832107249,0.23135968445661395,0.18643373822847004
Date retention expiry,s5_retention_expiry,43,full_retraining,forget,0.8504190844616376,0.3203467993329882,0.7993194877767039,0.2502718054156538,0.21518375241779497
Date retention expiry,s5_retention_expiry,43,full_retraining,retain,0.8626049669465785,0.2960630401996609,0.8087610685355733,0.24075116254024104,0.2054314811506164
Date retention expiry,s5_retention_expiry,43,full_retraining,test,0.8587416405077112,0.31196758162650234,0.802353226112426,0.24085030418398334,0.20226559301214686
Date retention expiry,s5_retention_expiry,44,baseline,forget,0.8550934880722115,0.30887611251494085,0.8022380631327266,0.24682137016713074,0.20696324951644102
Date retention expiry,s5_retention_expiry,44,baseline,retain,0.8623905663748437,0.2952951049307902,0.8082149027101775,0.23736443933165446,0.2001429337144899
Date retention expiry,s5_retention_expiry,44,baseline,test,0.8587416405077112,0.31186469278758894,0.8017820349870142,0.23742656656076275,0.19380373959328512
Date retention expiry,s5_retention_expiry,44,full_retraining,forget,0.8500967117988395,0.3211738838527233,0.7986310398499817,0.24737605678437508,0.21679561573178593
Date retention expiry,s5_retention_expiry,44,full_retraining,retain,0.8631052349472932,0.2939375285921908,0.8092952912216793,0.2379039520860256,0.20600321600857602
Date retention expiry,s5_retention_expiry,44,full_retraining,test,0.8576497884536646,0.31278355380066164,0.8020699187371535,0.23789145154105956,0.20144670397161185
