display_name,scenario,false_positive_rate,true_positive_rate,threshold
Random 1%,s1_random_1_percent,0.024578399712952996,0.42156303479749,0.6932140588760376
Random 1%,s1_random_1_percent,0.024937208467886617,0.42156303479749,0.6931225061416626
Random 1%,s1_random_1_percent,0.024937208467886617,0.4232743867655448,0.6922459006309509
Random 1%,s1_random_1_percent,0.02529601722282024,0.4232743867655448,0.6920078992843628
Random 1%,s1_random_1_percent,0.02529601722282024,0.42384483742156304,0.6918084621429443
Random 1%,s1_random_1_percent,0.02529601722282024,0.4249857387335995,0.6917514801025391
Random 1%,s1_random_1_percent,0.02529601722282024,0.4255561893896178,0.6912200450897217
Random 1%,s1_random_1_percent,0.02529601722282024,0.4266970907016543,0.6911873817443848
Random 1%,s1_random_1_percent,0.02529601722282024,0.4278379920136908,0.6903843879699707
Random 1%,s1_random_1_percent,0.025475421600287047,0.4278379920136908,0.6893543601036072
Random 1%,s1_random_1_percent,0.025475421600287047,0.42840844266970907,0.6893478631973267
Random 1%,s1_random_1_percent,0.02583423035522067,0.42840844266970907,0.6881558895111084
Random 1%,s1_random_1_percent,0.02583423035522067,0.4289788933257273,0.6878905892372131
Random 1%,s1_random_1_percent,0.026013634732687477,0.4289788933257273,0.6869663596153259
Random 1%,s1_random_1_percent,0.026013634732687477,0.43240159726183686,0.6858232617378235
Random 1%,s1_random_1_percent,0.026013634732687477,0.43354249857387334,0.6857477426528931
Random 1%,s1_random_1_percent,0.026013634732687477,0.4381061038220194,0.6828641295433044
Random 1%,s1_random_1_percent,0.0263724434876211,0.4381061038220194,0.6818085312843323
Random 1%,s1_random_1_percent,0.026551847865087908,0.4392470051340559,0.6813399195671082
Random 1%,s1_random_1_percent,0.026551847865087908,0.43981745579007414,0.6811644434928894
Random 1%,s1_random_1_percent,0.02673125224255472,0.43981745579007414,0.6808527708053589
Random 1%,s1_random_1_percent,0.02673125224255472,0.44038790644609244,0.6799103021621704
Random 1%,s1_random_1_percent,0.027090060997488338,0.44038790644609244,0.6790761947631836
Random 1%,s1_random_1_percent,0.027090060997488338,0.44266970907016545,0.677834689617157
Random 1%,s1_random_1_percent,0.02726946537495515,0.4432401597261837,0.6775248050689697
Random 1%,s1_random_1_percent,0.02726946537495515,0.44381061038220193,0.6774448156356812
Random 1%,s1_random_1_percent,0.02726946537495515,0.44495151169423847,0.6774423718452454
Random 1%,s1_random_1_percent,0.02726946537495515,0.4466628636622932,0.6767089366912842
Random 1%,s1_random_1_percent,0.02744886975242196,0.4466628636622932,0.6762654185295105
Random 1%,s1_random_1_percent,0.02744886975242196,0.4472333143183115,0.6762080192565918
Random 1%,s1_random_1_percent,0.027628274129888768,0.4472333143183115,0.6760711669921875
Random 1%,s1_random_1_percent,0.027628274129888768,0.4478037649743297,0.6758031249046326
Random 1%,s1_random_1_percent,0.02780767850735558,0.4478037649743297,0.6756769418716431
Random 1%,s1_random_1_percent,0.02780767850735558,0.45008556759840274,0.6745298504829407
Random 1%,s1_random_1_percent,0.02798708288482239,0.45008556759840274,0.6741007566452026
Random 1%,s1_random_1_percent,0.02798708288482239,0.4517969195664575,0.6736403107643127
Random 1%,s1_random_1_percent,0.0281664872622892,0.4517969195664575,0.6730130910873413
Random 1%,s1_random_1_percent,0.0281664872622892,0.45464917284654877,0.6718530654907227
Random 1%,s1_random_1_percent,0.02834589163975601,0.45464917284654877,0.6717042326927185
Random 1%,s1_random_1_percent,0.02834589163975601,0.455219623502567,0.6716778874397278
Random 1%,s1_random_1_percent,0.02870470039468963,0.455219623502567,0.6716313362121582
Random 1%,s1_random_1_percent,0.02870470039468963,0.4557900741585853,0.6714242696762085
Random 1%,s1_random_1_percent,0.02906350914962325,0.4557900741585853,0.6708390712738037
Random 1%,s1_random_1_percent,0.02906350914962325,0.45636052481460354,0.6703830361366272
Random 1%,s1_random_1_percent,0.02924291352709006,0.45636052481460354,0.6687816977500916
