scenario,display_name,epoch,subset,model,loss,accuracy,precision,recall,f1,auroc,mean_entropy,median_entropy,std_entropy
s1_random_1_percent,Random 1%,2,test,fully_retrained,0.31208210650335294,0.8577862699604204,0.742001361470388,0.6217912150598973,0.6765983860955928,0.9098553384622723,0.44110829850582406,0.3802134147657185,0.37217705002689344
s1_random_1_percent,Random 1%,3,forget,baseline,0.3046579141173976,0.847953216374269,0.6621621621621622,0.6447368421052632,0.6533333333333333,0.9093292441630392,0.42080562443019687,0.33273387884721156,0.37208628083989015
s1_random_1_percent,Random 1%,3,forget,fine_tuned,0.3030696749431059,0.8538011695906432,0.6805555555555556,0.6447368421052632,0.6621621621621622,0.9096260387811634,0.4289885364528425,0.3427662526939481,0.37839958351500147
s1_random_1_percent,Random 1%,3,forget,fully_retrained,0.31426174601107815,0.847953216374269,0.6666666666666666,0.631578947368421,0.6486486486486487,0.9034922833399288,0.41313557444216326,0.3201746901400825,0.3712058653440291
s1_random_1_percent,Random 1%,3,retain,baseline,0.29887029258355713,0.8599875912193105,0.7361773786135279,0.647254780999383,0.6888582496224804,0.9187655217332185,0.4443052184873277,0.3794381343093393,0.3730881505561839
s1_random_1_percent,Random 1%,3,retain,fine_tuned,0.29719298943998496,0.8622034449138771,0.7537984953532969,0.6304750154225787,0.6866433754367106,0.9201548191562159,0.45268116224310034,0.39527603986415866,0.37841360632592813
s1_random_1_percent,Random 1%,3,retain,fully_retrained,0.2994500580490726,0.8600466806511655,0.7423021582733813,0.6365206662553979,0.6853537030886748,0.9181892941254343,0.43688180260733517,0.36019366044366913,0.37275576137371247
s1_random_1_percent,Random 1%,3,validation,baseline,0.3010408610695784,0.8610428610428611,0.7425742574257426,0.6417569880205363,0.6884944920440637,0.9165791917656938,0.43425175211907346,0.36521914231444946,0.3692888096153216
s1_random_1_percent,Random 1%,3,validation,fine_tuned,0.3018093764867068,0.8633633633633634,0.7593103448275862,0.6280661722760981,0.6874804870433968,0.9163179697893508,0.4431037043626142,0.3812675726787098,0.3750572825706599
s1_random_1_percent,Random 1%,3,validation,fully_retrained,0.30091478286834683,0.8630903630903631,0.7506684491978609,0.6406160867084997,0.6912896275777162,0.9165431611482672,0.42682485831106987,0.34409576316848334,0.36888990471665406
s1_random_1_percent,Random 1%,3,test,baseline,0.312553161063312,0.8560120103725946,0.7336010709504686,0.6252139189960069,0.6750846935632892,0.9096566939119795,0.44835343633836,0.395422048126605,0.372275857712718
s1_random_1_percent,Random 1%,3,test,fine_tuned,0.3132705669596535,0.858878122014467,0.752280701754386,0.6115231032515688,0.6746381371932033,0.9093314531181463,0.456779279930973,0.4119580939250622,0.377326128574516
s1_random_1_percent,Random 1%,3,test,fully_retrained,0.31208210650335294,0.8577862699604204,0.742001361470388,0.6217912150598973,0.6765983860955928,0.9098553384622723,0.44110829850582406,0.3802134147657185,0.37217705002689344
s1_random_1_percent,Random 1%,5,forget,baseline,0.3046579141173976,0.847953216374269,0.6621621621621622,0.6447368421052632,0.6533333333333333,0.9093292441630392,0.42080562443019687,0.33273387884721156,0.37208628083989015
s1_random_1_percent,Random 1%,5,forget,fine_tuned,0.3053564571929189,0.8538011695906432,0.6911764705882353,0.618421052631579,0.6527777777777778,0.9081420656905421,0.4115007443438103,0.30269031631324295,0.379526614449008
s1_random_1_percent,Random 1%,5,forget,fully_retrained,0.31426174601107815,0.847953216374269,0.6666666666666666,0.631578947368421,0.6486486486486487,0.9034922833399288,0.41313557444216326,0.3201746901400825,0.3712058653440291
